date,description,amount,category
2026-04-02,MERCADOLIBRE,5635.33,Shopping
2026-04-05,UBER *TRIP,4042.1,Transport
2026-04-05,CABIFY,2091.47,Transport
2026-04-05,SPOTIFY PREMIUM,1800.0,Entertainment
2026-04-05,FARMACIA ITALIANA,4718.79,Health
2026-04-05,Curso Udemy,5479.23,Education
2026-04-05,Café con amigos,1866.05,Dining
2026-04-06,PEDIDOSYA - Sushi Club,4423.47,Dining
2026-04-06,MERCADOLIBRE,9393.63,Shopping
2026-04-07,PEDIDOSYA - Sushi Club,6911.64,Dining
2026-04-08,UBER *TRIP,4462.57,Transport
2026-04-08,UBER *TRIP,1444.14,Transport
2026-04-08,Curso Udemy,3125.59,Education
2026-04-09,MERCADOLIBRE,21382.0,Shopping
2026-04-12,COTO SUPERMERCADO,9236.64,Groceries
2026-04-12,FARMACIA ITALIANA,3729.19,Health
2026-04-12,ZARA,35621.43,Shopping
2026-04-12,Café con amigos,2619.04,Dining
2026-04-13,COTO SUPERMERCADO,14691.32,Groceries
2026-04-13,Nafta YPF,9964.46,Transport
2026-04-14,CARREFOUR EXPRESS,4924.83,Groceries
2026-04-14,CARREFOUR EXPRESS,2267.85,Groceries
2026-04-14,Nafta YPF,13842.73,Transport
2026-04-15,COTO SUPERMERCADO,13826.15,Groceries
2026-04-15,UBER *TRIP,1794.58,Transport
2026-04-15,SPOTIFY PREMIUM,1800.0,Entertainment
2026-04-15,EDESUR FACTURA,7422.42,Utilities
2026-04-16,CARREFOUR EXPRESS,3136.56,Groceries
2026-04-16,UBER *TRIP,4176.06,Transport
2026-04-17,UBER *TRIP,2495.69,Transport
2026-04-17,Café con amigos,2915.17,Dining
2026-04-17,Nafta YPF,10750.3,Transport
2026-04-18,COTO SUPERMERCADO,12919.58,Groceries
2026-04-19,COTO SUPERMERCADO,12676.57,Groceries
2026-04-19,COTO SUPERMERCADO,3534.86,Groceries
2026-04-19,CABIFY,2980.58,Transport
2026-04-19,SPOTIFY PREMIUM,1800.0,Entertainment
2026-04-20,Café con amigos,3146.11,Dining
2026-04-20,Café con amigos,2301.72,Dining
2026-04-20,Café con amigos,3085.76,Dining
2026-04-21,COTO SUPERMERCADO,9467.51,Groceries
2026-04-22,UBER *TRIP,3904.74,Transport
2026-04-22,UBER *TRIP,3509.28,Transport
2026-04-22,Café con amigos,3353.38,Dining
2026-04-23,MERCADOLIBRE,6589.57,Shopping
2026-04-24,PEDIDOSYA - Sushi Club,6632.89,Dining
2026-04-24,Café con amigos,2716.39,Dining
2026-04-24,Nafta YPF,8992.18,Transport
2026-04-25,COTO SUPERMERCADO,6753.96,Groceries
2026-04-25,CABIFY,2134.6,Transport
2026-04-26,CARREFOUR EXPRESS,8617.12,Groceries
2026-04-26,UBER *TRIP,2727.77,Transport
2026-04-26,Café con amigos,2792.03,Dining
2026-04-27,PEDIDOSYA - Sushi Club,6873.53,Dining
2026-04-27,UBER *TRIP,1716.64,Transport
2026-04-27,CABIFY,1160.59,Transport
2026-04-27,Café con amigos,2066.22,Dining
2026-04-28,UBER *TRIP,4079.62,Transport
2026-04-29,CARREFOUR EXPRESS,4050.4,Groceries
2026-04-29,CABIFY,3953.76,Transport
2026-04-29,Nafta YPF,12923.36,Transport
2026-05-01,UBER *TRIP,4175.2,Transport
2026-05-01,UBER *TRIP,2903.31,Transport
2026-05-01,Café con amigos,3484.59,Dining
2026-05-01,Nafta YPF,14579.17,Transport
2026-05-02,CABIFY,3680.78,Transport
2026-05-02,FARMACIA ITALIANA,3378.11,Health
2026-05-03,CARREFOUR EXPRESS,6678.7,Groceries
2026-05-04,UBER *TRIP,977.03,Transport
2026-05-04,NETFLIX.COM,2500.0,Entertainment
2026-05-04,EDESUR FACTURA,7071.28,Utilities
2026-05-05,COTO SUPERMERCADO,5764.92,Groceries
2026-05-06,UBER *TRIP,2461.71,Transport
2026-05-06,CABIFY,2191.57,Transport
2026-05-06,CABIFY,3899.39,Transport
2026-05-06,ZARA,37747.19,Shopping
2026-05-07,COTO SUPERMERCADO,9028.92,Groceries
2026-05-07,CABIFY,1684.63,Transport
2026-05-07,Nafta YPF,10913.27,Transport
2026-05-08,UBER *TRIP,3101.66,Transport
2026-05-09,CARREFOUR EXPRESS,2122.39,Groceries
2026-05-09,CARREFOUR EXPRESS,3239.68,Groceries
2026-05-09,PEDIDOSYA - Sushi Club,6354.84,Dining
2026-05-09,UBER *TRIP,2784.62,Transport
2026-05-09,UBER *TRIP,1520.45,Transport
2026-05-09,Cine Hoyts,5997.3,Entertainment
2026-05-10,UBER *TRIP,2875.18,Transport
2026-05-10,CABIFY,3812.46,Transport
